BI_SNV_SBS1_P	BI_SNV_SBS2_P	BI_SNV_SBS4_P	BI_SNV_SBS5_P	BI_SNV_SBS7a_S	BI_SNV_SBS7b_S	BI_SNV_SBS7c_S	BI_SNV_SBS8_P	BI_SNV_SBS9_P	BI_SNV_SBS10a_S	BI_SNV_SBS11_S	BI_SNV_SBS12_P	BI_SNV_SBS13_P	BI_SNV_SBS14_S	BI_SNV_SBS15_S	BI_SNV_SBS16_P	BI_SNV_SBS17a_P	BI_SNV_SBS17b_P	BI_SNV_SBS18_P	BI_SNV_SBS19_P	BI_SNV_SBS21_S	BI_SNV_SBS22_P	BI_SNV_SBS26_S	BI_SNV_SBS28_P	BI_SNV_SBS30_P	BI_SNV_SBS31_P	BI_SNV_SBS33_P	BI_SNV_SBS36_P	BI_SNV_SBS37_P	BI_SNV_SBS38_S	BI_SNV_SBS39_P	BI_SNV_SBS40_P	BI_SNV_SBS60_P	BI_SNV_SBS55_S	BI_SNV_SBS44_S	BI_SNV_SBS61_S	BI_SNV_SBS62_S	BI_SNV_SBS63_P	BI_SNV_SBS64_S	BI_SNV_SBS65_S	BI_SNV_SBS66_S	BI_SNV_SBS67_P	BI_SNV_SBS68_S	BI_SNV_SBS69_P	BI_SNV_SBS70_P	BI_SNV_SBS71_P	BI_SNV_SBS72_S	BI_SNV_SBS73_S	BI_SNV_SBS74_P	BI_SNV_SBS75_S	BI_SNV_SBS76_S	BI_SNV_SBS77_S	BI_SNV_SBS78_P	BI_SNV_SBS79_P	BI_SNV_SBS80_S	BI_SNV_SBS81_S	BI_SNV_SBS82_P	feature
0.001085305	0.000157993	0.001511119	0.022484207	7.97E-05	0.002576742	0.014201264	0.002000406	0.008428707	0.002218293	0.00022412	0.033182374	0.000204056	0.005081042	0.005431514	0.000915376	0.006016634	0.003322948	0.003079999	0.000846492	0.018636027	0.002142002	0.018894288	0.010947529	0.000579387	0.002431209	0.408332718	0.000713945	0.001013006	0.004613508	0.004603661	0.003347984	0	0.00017046	0.026631776	0.005983888	0.002017309	0.004154344	0.00477755	0.014980367	0.001844128	0.003553088	0.000370083	0.001039655	0.003830102	0.020281238	0.009661804	0.012719492	0.005691131	0.012825657	0.008890279	0.00504318	0.006495678	0.001454106	0.051808819	0.005964903	0	T>C_at_TTG
0.003289154	0.000426969	0.002669251	0.022425245	7.19E-05	0.000291605	0.000412843	0.001758354	0.00846283	0.000221331	0.000425587	0.031467899	0.000145445	0.015796842	0.008768187	0	0.007980645	0.003714575	0.001069702	0.001803679	0.065874538	0.001280739	0.071901854	0.009941931	0.001773133	0.000631177	0.258857818	0.001019121	0.003239451	0.00066858	0.009294251	0.003138052	0	0.003425631	0.018984414	0.003980088	0.006255531	0.006330561	0.000768792	0.010479429	0.004320849	0.004114502	0.001110245	0.001021792	0.018049426	0.000197594	0.000623936	0.030148381	0.010275773	0.001533112	0.034087278	0.024201956	0.007783938	0.017007302	0.021483833	0.00931941	0.001927067	T>C_at_GTG
0.002543471	0.000234949	0.004967814	0.026213788	0.000125427	0.000244925	0.002792151	0.00144698	0.010006352	0.000394782	0.000265981	0.028297187	0.000113324	0.00715744	0.004164688	0.000438826	0.044269113	0.015173704	0.002512024	0.001429446	0.029781048	0.001781625	0.103470872	0.039555751	0.004183259	0.010357227	0.041718061	0.000735049	0.001944099	0.001963131	0.011801423	0.009121964	0	0.00073944	0.044128755	0.001940014	0.000291713	0.005837079	0.001119478	0.005098823	0.000422785	0.008494246	0.000674677	0.00017568	0.00217904	0.000937002	0.00231602	0.008321926	0.006408652	0.001389698	0.001228895	0.006966613	0.008195322	0	0.033758371	0.011272408	0	T>C_at_CTG
0.00412173	0.000514306	0.004757997	0.066830881	0.00032189	0.001680591	0.000312519	0.009045716	0.016758168	0.000687663	0.000534391	0.049412593	0.000336119	0.011951689	0.002656782	0.056280709	0.000973677	0.000739149	0.002538505	0.005355877	0.023521295	0.006269132	0.09510023	0.00445619	0.004847739	0.002026529	0.06574548	0.002487335	0.001356564	0.002669897	0.009942799	0.015143389	0	0.005522187	0.037223012	0.004687415	0.001490917	0.005448477	0.001537017	0.014932347	0.001661599	0.021507569	0.002131123	0.001053755	0.004560647	0.001946557	0.002488262	0.004226002	0.009604231	0.003641721	0.005899489	0.01178031	0.019200132	0.003676704	0.024459391	0.017261952	0	T>C_at_ATG
0.003653489	0.000337011	0.000778203	0.00188238	0.00033634	0.001471831	0.020177924	0.012390508	0.009685993	0.005966879	0.000570774	0.050715796	0.000155311	0.006510503	0.008577639	0.000887752	0.01357571	0.005510063	0.002378679	0.001157999	0.019644168	0.000849796	0.013673099	0.021435484	0.002100167	0.001070297	0.000937869	0.001059535	0.032150043	0.003269384	0.013706397	0.003525244	0	0.001341475	0.012992215	0.006084156	0.005152803	0.014460573	0.003987443	0.023282194	0.007829897	0.000784549	0.004588189	0.000810199	0.037451492	0.009491999	0.009590771	0.028187644	0.033115532	0.008969781	0.020645255	0.03020869	0.015917354	0.099170302	0.065000755	0.009287895	0	T>C_at_TTC
0.003659594	0.00037667	0.000886813	0.003490698	8.39E-06	5.29E-05	0.000152678	0.00431322	0.007510983	0.002204868	0.000933849	0.034307764	0.000166624	0.01309905	0.01366931	5.91E-05	0.012524402	0.005537395	0.001165557	0.000677809	0.028036781	0.000792761	0.020883866	0.009898106	0.002971076	0.018136221	0.001082124	0.000685651	0.01437858	0.001836574	0.005188271	0.000993158	0	0.001900027	0.003242031	0.005602889	0.018129278	0.008234085	0.000527851	0.011045987	0.029362346	0.004716222	0.002346686	0.001996727	0.026764925	0.000572281	0.000782053	0.024394363	0.043238546	0.000368576	0.044047995	0.041536707	0.016194842	0.103895518	0.015300223	0.000855721	2.10E-39	T>C_at_GTC
0.003398118	0.000216827	0.001651653	0.000739038	0.000186959	0.00047885	0.0041125	0.016769269	0.003191446	0.000647324	0.00052403	0.058413296	0.000173394	0.006948697	0.004376422	2.67E-05	0.074391966	0.026658204	0.001028535	0.001639918	0.004255756	0.001868143	0.034536998	0.039102166	0.002761481	0.005862685	0.031205003	0.000650665	0.011319196	0.00237715	0.016454057	0.002487426	0.009852335	0.002801444	0.011519471	0.001221863	0.000723424	0.001783652	0.001075231	0.006592247	0.001148653	0.006859245	0.00274764	0.002366785	0.020286651	0.004809431	0.002160611	0.005236338	0.010545766	0.00037023	0.004308113	0.006950114	0.04431669	0	0.015275707	0.001733026	0	T>C_at_CTC
0.005021632	0.000342604	0.000516877	0.008439594	0.000177822	0.000423507	0.000400089	0.010493009	0.011938771	0.001223518	0.000786813	0.044118829	0.000268127	0.007174395	0.003312755	0.018214754	0.004490881	0.001770944	0.001005001	0.001232424	0.011803847	0.000553498	0.028493283	0.006668379	0.003809768	0.001218812	2.60E-05	0.001173671	0.036536189	0.003198146	0.011639883	0.004878822	0	0.001792698	0.00882958	0.004006652	0.004312166	0.007718364	0.00094579	0.014370352	0.007636377	0.007236702	0.001359502	0.002327861	0.014624089	0.001582617	0.000882423	0.007551343	0.007341032	0.001421724	0.010775255	0.016108328	0.023798619	0.01362946	0.017570935	0.00170147	0.001900907	T>C_at_ATC
0.001301022	0.000395718	0.00264259	0.041560208	0.00110522	0.006518716	0.021777564	0.00255397	0.018034688	0.00244546	0.000576145	0.070036566	0.000451011	0.007249292	0.007085359	0.007406738	0.002712865	0.003921579	0.002128543	0.001247228	0.070366643	0.006330718	0.018340801	0.004571019	0.002968137	0.000442298	0.000235662	0.001793066	0.038993709	0.005935012	0.009849709	0.013067854	0	0.000884966	0.021525491	0.008467167	0.00879612	0.012225169	0.013647553	0.01740045	0.00931181	0.005320887	0.000294072	0.001176852	0.005663072	0.136240546	0.026271594	0.054220956	0.010389596	0.044171746	0.026534755	0.001177772	0.011382895	0	0.096152083	0.012942866	0	T>C_at_TTA
0.003059255	0.000514026	0.00377335	0.038687343	2.76E-05	0.000293716	0.00075655	0.002129107	0.010038737	0.001738764	0.001447284	0.054448569	0.000416605	0.016847473	0.01710454	0.000293797	0.001373321	0.000486155	0.001007567	0.002667901	0.13376183	0.001897321	0.083218245	0.003841003	0.003029252	0.001513442	0	0.001418035	0.02516677	0.002393692	0.00787512	0.007134573	0	0.001581383	0.011585569	0.006356682	0.025268023	0.015880309	0.000514837	0.015728989	0.018654204	0.005315494	0.007454492	0.002519679	0.023524615	0.02173792	0.00129426	0.067031834	0.031157362	0.000580479	0.069462968	0.020078784	0.008570549	0.006720638	0.044207015	0.006219947	0	T>C_at_GTA
0.000365837	0.000221504	0.006278924	0.031976606	0.000534822	0.001385356	0.004099555	0.000535194	0.013868298	0.000117553	0.000405805	0.032789585	0.000261343	0.003264338	0.001613786	0.002712409	0.011917013	0.003222818	0.001618557	0.001808276	0.030398614	0.005502488	0.055251448	0.017923053	0.001349334	0.009375334	0.006750477	0.0006104	0.035238179	0.002188912	0.012472592	0.01369119	0	1.24E-63	0.019993578	0.001266968	0.001085428	0.006828604	0.00167755	0.004587211	0.000992384	0.001476491	0.000323164	0.000176644	0.00196789	0.047710215	0.0063688	0.028272866	0.001419801	0.007397291	0.002527172	0.001111597	0.04140074	0.001259241	0.035694264	0.007327605	0	T>C_at_CTA
0.004070573	0.000783224	0.007649825	0.099204944	0.000373912	0.001492867	0.001586803	0.003693663	0.019814247	0.001218187	0.000940837	0.076902723	0.001125704	0.010866183	0.004764767	0.317771324	0.001908617	0.001289047	0.005996382	0.004397695	0.052410777	0.025576107	0.077575554	0.002168005	0.002252964	0.000147672	0	0.002094261	0.038400502	0.00257663	0.008947135	0.009787204	0	0.00514788	0.024711648	0.007380804	0.01162825	0.0191697	0.003330567	0.020474144	0.012241044	0.016049434	0.004517919	0.002663754	0.006500315	0.037895238	0.002688815	0.023959042	0.007364901	0.001607666	0.035784137	0.010491796	0.041814006	0.002057716	0.045674418	0.017162509	0	T>C_at_ATA
0.004215249	0.000383921	0.005019555	0.007034886	0.004927129	0.001583825	0.188906488	0.047680955	0.014326317	0.0072856	0.000662855	0.00654054	0.000448212	0.002150298	0.001353216	0.000185565	0.024853597	0.007896523	0.005993407	0.000335582	0.000874033	0.034029931	0.002962953	0.015494673	0.001594671	0.001208554	0.001798571	0.00050557	0.002170131	0.001252049	0.015784813	0.054950412	0	0.001750479	0.008221765	0.004915547	0.001928639	0.016575993	0.003486633	0.016413703	0.0010954	0.006850937	0.002508628	0.001635912	0.044086362	0.03920376	0.01173539	0.00179417	0.002042736	0.162954318	0.003430193	0.00344527	0.004329191	2.70E-37	0.015858006	0.044375984	0	T>A_at_TTT
