,Before,After
251,-81136.13693294335,-81749.34274314764
252,-57884.92368415421,-58193.02687164927
253,-99013.00244060645,-99383.6344884771
254,-21835.232342206902,-22107.877816767566
255,-48166.13969062753,-48579.74460205823
256,-21019.757518020626,-21179.068448947277
257,-137609.06526761825,-137886.9467687367
258,-41665.76407037898,-42492.67648713755
259,-27364.308596310173,-27462.96592461589
260,-50468.67487893639,-50954.083347382715
261,-20420.506628350886,-20563.634914030594
262,-19862.338957329233,-20189.939424694676
263,-155884.25187733272,-156719.39161772374
264,-27009.844622183213,-27369.94821230296
265,-49500.97195574782,-49615.346911141685
266,-22973.377413230894,-23362.26192763781
267,-104648.53893767703,-105858.07693051596
268,-33305.132277618504,-33422.325552225506
269,-36757.794029598386,-37322.038919105886
270,-41396.052543988946,-41817.52228513467
271,-53756.08764872057,-54352.4585126491
272,-78173.22226750241,-78633.31476551411
273,-71837.93836097456,-72115.38407264011
274,-13450.44700008046,-13709.950076309953
275,-45992.80574795567,-46581.15466014768
276,-55329.23313586229,-55998.403137404704
277,-70216.78102408187,-70531.11761191468
278,-39068.00517399993,-39252.866267612386
279,-6426.000593569157,-6460.575385435944
280,-85927.1902637868,-86026.52254468433
281,-32942.77255150749,-33539.25509288453
282,-60771.34460557581,-61214.69839372801
283,-42745.69758174312,-43272.15386847482
284,-32069.31385081046,-32395.661342820727
285,-42822.67219463478,-43162.62675037022
286,-50491.63792486069,-51144.125418158656
287,-30104.066348998735,-30488.89232362995
288,-94328.9319063062,-95428.27654077907
289,-7353.714468441367,-7495.476106545704
290,-21900.3510157645,-22005.752838773293
291,-17054.390336801513,-17380.236822084164
292,-65661.21861823958,-65839.61796035823
293,-59123.397349391416,-60143.716101910286
294,-70671.46347267143,-70885.60676304066
295,-52376.149672794694,-53008.850701239855
296,-66844.00372129545,-67704.76629070524
297,-48358.1890190425,-48835.42786423919
298,-72393.983054366,-72519.10450428656
299,-46163.32204391571,-46252.512693728735
300,-19874.79103991356,-20088.68268587778
301,-56056.06968594645,-56792.92257201243
302,-30506.95761285996,-30689.01384775745
303,-33006.90948004164,-33419.94125489873
304,-28829.220076348465,-29208.983277604475
305,-46027.77898962434,-46546.52453726206
306,-24944.210128996587,-25407.455288457448
307,-86568.73364882728,-87246.66030943068
308,-56671.835735550565,-57212.72804957577
309,-46794.29016624604,-47140.19558129402
310,-28834.190798568994,-29457.08325791602
311,-36377.9192640523,-36842.217627989434
312,-110018.29988952207,-110132.04621127652
313,-17183.043319387692,-17479.485805372555
314,-36522.15650933134,-37132.431860634395
315,-21780.846098839673,-21932.654210938643
316,-23135.50740750142,-23278.663354412263
317,-26223.701401810282,-26326.50352790255
318,-26542.69940066083,-26621.57185372833
319,-29568.66997241688,-29772.940072648755
320,-48199.15890152125,-48723.63215189196
321,-82729.98464618917,-82729.98464618917
322,-54263.329990468366,-54955.7524518937
323,-41528.04532462842,-42196.33578402238
324,-36459.4221526772,-37097.80629287662
325,-58883.684306529714,-59007.34309103663
